buffer_length,throughtput,transfered_length
80,0.69,1073.74
80,0.66,1073.74
80,0.67,1073.74
80,0.67,1073.74
80,0.67,1073.74
80,0.66,1073.74
80,0.66,1073.74
80,0.69,1073.74
80,0.67,1073.74
80,0.70,1073.74
80,0.67,1073.74
80,0.68,1073.74
80,0.67,1073.74
80,0.67,1073.74
80,0.66,1073.74
80,0.67,1073.74
80,0.66,1073.74
80,0.66,1073.74
80,0.68,1073.74
80,0.66,1073.74
80,0.67,1073.74
80,0.66,1073.74
80,0.66,1073.74
80,0.67,1073.74
80,0.66,1073.74
80,0.66,1073.74
80,0.67,1073.74
80,0.66,1073.74
80,0.67,1073.74
80,0.67,1073.74
80,0.67,1073.74
80,0.66,1073.74
80,0.66,1073.74
80,0.66,1073.74
80,0.67,1073.74
80,0.67,1073.74
80,0.68,1073.74
80,0.67,1073.74
80,0.66,1073.74
80,0.66,1073.74
80,0.68,1073.74
80,0.70,1073.74
80,0.67,1073.74
80,0.67,1073.74
80,0.67,1073.74
80,0.67,1073.74
80,0.66,1073.74
80,0.66,1073.74
80,0.67,1073.74
80,0.68,1073.74
80,0.69,1073.74
80,0.66,1073.74
80,0.66,1073.74
80,0.65,1073.74
80,0.66,1073.74
80,0.67,1073.74
80,0.67,1073.74
80,0.69,1073.74
80,0.67,1073.74
80,0.67,1073.74
80,0.67,1073.74
80,0.67,1073.74
80,0.67,1073.74
80,0.69,1073.74
80,0.67,1073.74
80,0.68,1073.74
80,0.67,1073.74
80,0.66,1073.74
80,0.68,1073.74
80,0.68,1073.74
80,0.67,1073.74
80,0.66,1073.74
80,0.67,1073.74
80,0.67,1073.74
80,0.66,1073.74
80,0.68,1073.74
80,0.66,1073.74
80,0.68,1073.74
80,0.66,1073.74
80,0.67,1073.74
80,0.66,1073.74
80,0.66,1073.74
80,0.67,1073.74
80,0.67,1073.74
80,0.66,1073.74
80,0.66,1073.74
80,0.66,1073.74
80,0.68,1073.74
80,0.66,1073.74
80,0.66,1073.74
80,0.67,1073.74
80,0.67,1073.74
80,0.66,1073.74
80,0.68,1073.74
80,0.68,1073.74
80,0.67,1073.74
80,0.67,1073.74
80,0.66,1073.74
80,0.67,1073.74
